Representation,Algorithm,Distance metric,Subset size,N clusters,V-measure,Adj. RS,Hopkins,Silhouette Score,Modularity,Homogeneity,Completeness,Trustworthiness,Continuity
LFCC,HDBSCAN,euclidean,50,37,0.35901183248523066,0.08583478545132955,0.9839966665877253,0.38144463373236254,,0.5309410093221782,0.2711938967562912,0.9850755711775044,0.9871423550087873
LFCC,Leiden,euclidean,50,9,0.4055846136953008,0.22464540961019183,0.9839966665877253,0.5246227383613586,0.7996320301783266,0.4492203857146765,0.3696755610030452,0.9850755711775044,0.9871423550087873
Spectrogram,kMeans-preset,euclidean,50,5,0.47979041005469364,0.34602303651801763,0.9450577265846376,0.23455712585611593,,0.44637233100891066,0.5186171657362116,0.938813122437024,0.9561359109548916
Spectrogram,kMeans,euclidean,50,2,0.4128440767649794,0.25422363996561714,0.9450577265846376,0.23455712585611593,,0.2861514909374202,0.740855131355571,0.938813122437024,0.9561359109548916
Spectrogram,HDBSCAN,euclidean,50,3,0.5193379061397739,0.36742719690860143,0.9450577265846376,0.23455712585611593,,0.4214065351627981,0.6765662772160879,0.938813122437024,0.9561359109548916
Spectrogram,Leiden,euclidean,50,7,0.45563288043561856,0.3032469801337726,0.9450577265846376,0.3511629104614258,0.6498723593964336,0.46577777517583896,0.44592048826691166,0.938813122437024,0.9561359109548916
VAE,kMeans-preset,euclidean,50,5,0.4976024699274606,0.3241831690199352,0.9744004698138865,0.2608951145263869,,0.4484981336815388,0.5587812843131751,0.960896309314587,0.9583280609256005
VAE,kMeans,euclidean,50,3,0.5419772715514625,0.391739312311755,0.9744004698138865,0.2608951145263869,,0.430027434941361,0.7327303057635294,0.960896309314587,0.9583280609256005
VAE,HDBSCAN,euclidean,50,3,0.5419772715514625,0.391739312311755,0.9744004698138865,0.2608951145263869,,0.43002743494136103,0.7327303057635295,0.960896309314587,0.9583280609256005
VAE,Leiden,euclidean,50,6,0.47757336460351724,0.3579539461566435,0.9744004698138865,0.5021409392356873,0.681642729766804,0.4703218710582701,0.48505196902084896,0.960896309314587,0.9583280609256005
PAF,kMeans-preset,euclidean,50,5,0.46053060510826804,0.324125672324885,0.9282259127235493,0.24634455878724817,,0.42630518248394306,0.5007312382572734,0.9453626244874048,0.9472466315172818
PAF,kMeans,euclidean,50,7,0.5156667571996879,0.4215321550921582,0.9282259127235493,0.24634455878724817,,0.5335951805427401,0.49890393533335614,0.9453626244874048,0.9472466315172818
PAF,HDBSCAN,euclidean,50,19,0.4578292397304688,0.2671034053425877,0.9282259127235493,0.24634455878724817,,0.5682614530968164,0.3833345173165358,0.9453626244874048,0.9472466315172818
PAF,Leiden,euclidean,50,7,0.497848292079772,0.3984540987239145,0.9282259127235493,0.5541049838066101,0.6907005486968449,0.5153623583935223,0.4814854965095564,0.9453626244874048,0.9472466315172818
LFCC,kMeans-preset,euclidean,50,5,0.4380316914995827,0.28718693387282096,0.9878074081785363,0.38144463373236254,,0.4055100632826719,0.47622457492145714,0.9830380785002929,0.987925014645577
LFCC,kMeans,euclidean,50,16,0.3731220911242814,0.16138149604382887,0.9878074081785363,0.38144463373236254,,0.4715677911960351,0.3086810453671557,0.9830380785002929,0.987925014645577
LFCC,HDBSCAN,euclidean,50,34,0.3553863341222974,0.08861521259496641,0.9878074081785363,0.38144463373236254,,0.5173474972904625,0.270654919083871,0.9830380785002929,0.987925014645577
LFCC,Leiden,euclidean,50,9,0.4055846136953008,0.22464540961019183,0.9878074081785363,0.5659961104393005,0.7996320301783266,0.4492203857146765,0.3696755610030452,0.9830380785002929,0.987925014645577
Spectrogram,kMeans-preset,euclidean,50,5,0.4816043433087118,0.3458920578139303,0.9510118323279831,0.2327626160062844,,0.4549994381817947,0.5115137769587397,0.9363995313415349,0.9550697129466901
Spectrogram,kMeans,euclidean,50,2,0.4128440767649794,0.25422363996561714,0.9510118323279831,0.2327626160062844,,0.2861514909374202,0.740855131355571,0.9363995313415349,0.9550697129466901
Spectrogram,HDBSCAN,euclidean,50,3,0.5364395829932339,0.3795647364597907,0.9510118323279831,0.2327626160062844,,0.42392408001164694,0.7302613783829295,0.9363995313415349,0.9550697129466901
Spectrogram,Leiden,euclidean,50,7,0.4583707806385523,0.30643773515666434,0.9510118323279831,0.32871705293655396,0.6496995198902605,0.4686942858957843,0.44849224741686644,0.9363995313415349,0.9550697129466901
VAE,kMeans-preset,euclidean,50,5,0.47184021939467574,0.34381013823868367,0.9667447487355114,0.2544854482130561,,0.44735974949285157,0.4991550367594153,0.9601780902167545,0.9608752196836555
VAE,kMeans,euclidean,50,3,0.5373728034922515,0.3881369631507403,0.9667447487355114,0.2544854482130561,,0.42646175695640853,0.7262507810946149,0.9601780902167545,0.9608752196836555
VAE,HDBSCAN,euclidean,50,5,0.5102532585456435,0.34447201952906203,0.9667447487355114,0.2544854482130561,,0.43597658669795464,0.6150360143278734,0.9601780902167545,0.9608752196836555
VAE,Leiden,euclidean,50,7,0.4683585988303353,0.35249468624488695,0.9667447487355114,0.43665996193885803,0.6796183127572017,0.4789293984661491,0.45824435388182827,0.9601780902167545,0.9608752196836555
PAF,kMeans-preset,euclidean,50,5,0.4621912503439019,0.30337126748160875,0.9149989030450227,0.2486607628165629,,0.42438562133104174,0.5073912898977072,0.9501780902167546,0.9430767428236673
PAF,kMeans,euclidean,50,4,0.48400795113625167,0.3410689134273739,0.9149989030450227,0.2486607628165629,,0.42135562912778884,0.568546402294599,0.9501780902167546,0.9430767428236673
PAF,HDBSCAN,euclidean,50,2,0.2529291536106283,0.08393109142200939,0.9149989030450227,0.2486607628165629,,0.15588870640072391,0.6700079001409407,0.9501780902167546,0.9430767428236673
PAF,Leiden,euclidean,50,7,0.497848292079772,0.3984540987239145,0.9149989030450227,0.5507621169090271,0.6907039094650206,0.5153623583935223,0.4814854965095564,0.9501780902167546,0.9430767428236673
LFCC,kMeans-preset,euclidean,50,5,0.43332241885582695,0.2814295423417105,0.9860912848598762,0.38144463373236254,,0.4015116302999553,0.4706075052995399,0.982107791446983,0.9876215582893966
LFCC,kMeans,euclidean,50,8,0.39734432813406717,0.22058994802356702,0.9860912848598762,0.38144463373236254,,0.42367702001425633,0.37409339490632076,0.982107791446983,0.9876215582893966
LFCC,HDBSCAN,euclidean,50,6,0.4295467327744193,0.268035986139251,0.9860912848598762,0.38144463373236254,,0.4200553795841134,0.4394769251205781,0.982107791446983,0.9876215582893966
LFCC,Leiden,euclidean,50,9,0.4055846136953008,0.22464540961019183,0.9860912848598762,0.5634534955024719,0.7996320301783266,0.4492203857146765,0.3696755610030452,0.982107791446983,0.9876215582893966
Spectrogram,kMeans-preset,euclidean,50,5,0.481734494689363,0.343102843819752,0.9233882743530456,0.2332509058245597,,0.45087627758104243,0.5171269433115978,0.936821323960164,0.9539461042765085
Spectrogram,kMeans,euclidean,50,3,0.5364395829932339,0.3795647364597907,0.9233882743530456,0.2332509058245597,,0.42392408001164694,0.7302613783829295,0.936821323960164,0.9539461042765085
Spectrogram,HDBSCAN,euclidean,50,3,0.5364395829932339,0.3795647364597907,0.9233882743530456,0.2332509058245597,,0.42392408001164694,0.7302613783829295,0.936821323960164,0.9539461042765085
Spectrogram,Leiden,euclidean,50,7,0.4583707806385523,0.30643773515666434,0.9233882743530456,0.3459532856941223,0.6500672839506173,0.4686942858957843,0.44849224741686644,0.936821323960164,0.9539461042765085
VAE,kMeans-preset,euclidean,50,5,0.4679210515338396,0.33230261371515424,0.9632567851738808,0.26568251725229675,,0.4422735866888398,0.4967262274223254,0.9624721734036321,0.958538957234915
VAE,kMeans,euclidean,50,3,0.5373728034922515,0.3881369631507403,0.9632567851738808,0.26568251725229675,,0.42646175695640853,0.7262507810946149,0.9624721734036321,0.958538957234915
VAE,HDBSCAN,euclidean,50,3,0.5373728034922515,0.3881369631507403,0.9632567851738808,0.26568251725229675,,0.42646175695640853,0.7262507810946149,0.9624721734036321,0.958538957234915
VAE,Leiden,euclidean,50,6,0.47232831982283113,0.3540642707136347,0.9632567851738808,0.5095919966697693,0.6830858024691356,0.46678567020231426,0.4780041788945266,0.9624721734036321,0.958538957234915
PAF,kMeans-preset,euclidean,50,5,0.5287173532472431,0.38990437892660357,0.9110470892445749,0.2489234182936931,,0.4895410977889619,0.5747093227554483,0.9475875805506737,0.9473579379027534
PAF,kMeans,euclidean,50,4,0.48441451919680567,0.35916538823303457,0.9110470892445749,0.2489234182936931,,0.42426856822085385,0.5644303450307014,0.9475875805506737,0.9473579379027534
PAF,HDBSCAN,euclidean,50,38,0.48820228475850375,0.22695839238392962,0.9110470892445749,0.2489234182936931,,0.6925999134129365,0.37695628392964114,0.9475875805506737,0.9473579379027534
PAF,Leiden,euclidean,50,7,0.497848292079772,0.3984540987239145,0.9110470892445749,0.5376773476600647,0.6906627572016462,0.5153623583935223,0.4814854965095564,0.9475875805506737,0.9473579379027534
LFCC,kMeans-preset,euclidean,50,5,0.390431171476199,0.23340653890607788,0.986663485830354,0.38144463373236254,,0.36253409644820744,0.42297953578362807,0.984473345049795,0.9874926772114822
LFCC,kMeans,euclidean,50,20,0.3720188262864826,0.14736656343716478,0.986663485830354,0.38144463373236254,,0.49077502854635624,0.2995376460842445,0.984473345049795,0.9874926772114822
LFCC,HDBSCAN,euclidean,50,32,0.3563816871176467,0.09104867516971654,0.986663485830354,0.38144463373236254,,0.5120423420808166,0.27329892864688027,0.984473345049795,0.9874926772114822
LFCC,Leiden,euclidean,50,9,0.4055846136953008,0.22464540961019183,0.986663485830354,0.5761868357658386,0.7996320301783266,0.4492203857146765,0.3696755610030452,0.984473345049795,0.9874926772114822
Spectrogram,kMeans-preset,euclidean,50,5,0.46814808936136404,0.3296006787930212,0.9264141435506664,0.23235478946052132,,0.43563879018357965,0.5059006394379794,0.9342249560632689,0.9556977152899824
Spectrogram,kMeans,euclidean,50,3,0.5164082848804549,0.3647756938170942,0.9264141435506664,0.23235478946052132,,0.40736154846171824,0.7051774503810172,0.9342249560632689,0.9556977152899824
Spectrogram,HDBSCAN,euclidean,50,3,0.5338703180031077,0.39339232608917757,0.9264141435506664,0.23235478946052132,,0.4405880400516869,0.6772616602394681,0.9342249560632689,0.9556977152899824
Spectrogram,Leiden,euclidean,50,7,0.46822410780633056,0.31830316393711905,0.9264141435506664,0.3557056784629822,0.6494012345679011,0.47832774205463746,0.45853847874760106,0.9342249560632689,0.9556977152899824
VAE,kMeans-preset,euclidean,50,5,0.47743735842241947,0.34492943095546175,0.9426595291112232,0.26216372830840595,,0.4514420734665155,0.506609326611986,0.9607088459285296,0.9590263620386643
VAE,kMeans,euclidean,50,3,0.5509691391707828,0.3992865226123237,0.9426595291112232,0.26216372830840595,,0.43658285642359196,0.7465742972860367,0.9607088459285296,0.9590263620386643
VAE,HDBSCAN,euclidean,50,3,0.5509691391707827,0.3992865226123237,0.9426595291112232,0.26216372830840595,,0.4365828564235919,0.7465742972860366,0.9607088459285296,0.9590263620386643
VAE,Leiden,euclidean,50,6,0.47232831982283113,0.3540642707136347,0.9426595291112232,0.47277069091796875,0.6824528806584363,0.46678567020231426,0.4780041788945266,0.9607088459285296,0.9590263620386643
PAF,kMeans-preset,euclidean,50,5,0.4620865463910651,0.3687030733238727,0.939546972249272,0.24757185604401827,,0.435937024147508,0.49157339595860966,0.9499625073227885,0.9474176918570592
PAF,kMeans,euclidean,50,9,0.49710518897813066,0.36965763258189266,0.939546972249272,0.24757185604401827,,0.5479478352546732,0.45489652991458257,0.9499625073227885,0.9474176918570592
PAF,HDBSCAN,euclidean,50,42,0.48198735370249635,0.2237497664389277,0.939546972249272,0.24757185604401827,,0.7084910698549243,0.36522528359697204,0.9499625073227885,0.9474176918570592
PAF,Leiden,euclidean,50,7,0.497848292079772,0.3984540987239145,0.939546972249272,0.5302656292915344,0.6902897805212621,0.5153623583935223,0.4814854965095564,0.9499625073227885,0.9474176918570592
LFCC,kMeans-preset,euclidean,50,5,0.4084718638028503,0.30250463637054653,0.9886616921721904,0.38144463373236254,,0.38501882318666353,0.4349674772545197,0.982581136496778,0.9875547744581137
LFCC,kMeans,euclidean,50,16,0.36957150933656446,0.154525309693815,0.9886616921721904,0.38144463373236254,,0.4676507128181537,0.30549980617774847,0.982581136496778,0.9875547744581137
LFCC,HDBSCAN,euclidean,50,26,0.3535288254021337,0.10585909744769251,0.9886616921721904,0.38144463373236254,,0.49108249342369553,0.2761721767269803,0.982581136496778,0.9875547744581137
LFCC,Leiden,euclidean,50,9,0.4055846136953008,0.22464540961019183,0.9886616921721904,0.5686525106430054,0.7996320301783266,0.4492203857146765,0.3696755610030452,0.982581136496778,0.9875547744581137
Spectrogram,kMeans-preset,euclidean,50,5,0.48366697747362186,0.35192873582772727,0.8677869147916305,0.23260076985773812,,0.45590507846325334,0.5150291815858808,0.9372337434094904,0.9574657293497364
Spectrogram,kMeans,euclidean,50,2,0.4128440767649794,0.25422363996561714,0.8677869147916305,0.23260076985773812,,0.2861514909374202,0.740855131355571,0.9372337434094904,0.9574657293497364
Spectrogram,HDBSCAN,euclidean,50,3,0.5364395829932339,0.3795647364597907,0.8677869147916305,0.23260076985773812,,0.42392408001164694,0.7302613783829295,0.9372337434094904,0.9574657293497364
Spectrogram,Leiden,euclidean,50,7,0.4583707806385523,0.30643773515666434,0.8677869147916305,0.35158073902130127,0.6500672839506173,0.4686942858957843,0.44849224741686644,0.9372337434094904,0.9574657293497364
VAE,kMeans-preset,euclidean,50,5,0.5000856348160955,0.3275668416032575,0.9777053483866097,0.26843031951865715,,0.45096713861814125,0.5612117697818111,0.963070884592853,0.955236086701816
VAE,kMeans,euclidean,50,3,0.5419772715514625,0.391739312311755,0.9777053483866097,0.26843031951865715,,0.43002743494136103,0.7327303057635295,0.963070884592853,0.955236086701816
VAE,HDBSCAN,euclidean,50,3,0.5419772715514625,0.391739312311755,0.9777053483866097,0.26843031951865715,,0.430027434941361,0.7327303057635294,0.963070884592853,0.955236086701816
VAE,Leiden,euclidean,50,6,0.47232831982283113,0.3540642707136347,0.9777053483866097,0.5388658046722412,0.6831694101508916,0.46678567020231426,0.4780041788945266,0.963070884592853,0.955236086701816
PAF,kMeans-preset,euclidean,50,5,0.4703083358291387,0.37608478434869175,0.9024302386671299,0.247188744799172,,0.44383996369009565,0.5001337870692647,0.9497410661980082,0.945178676039836
PAF,kMeans,euclidean,50,4,0.4808493851046201,0.33795524956382506,0.9024302386671299,0.247188744799172,,0.41906290587587847,0.5640062584078308,0.9497410661980082,0.945178676039836
PAF,HDBSCAN,euclidean,50,15,0.4996099922384325,0.3603821605334478,0.9024302386671299,0.247188744799172,,0.5973982918095935,0.4293324405774876,0.9497410661980082,0.945178676039836
PAF,Leiden,euclidean,50,7,0.5021361804543525,0.403768768229981,0.9024302386671299,0.5176650285720825,0.6884550068587106,0.5206831323425865,0.48486508254535343,0.9497410661980082,0.945178676039836
LFCC,kMeans-preset,euclidean,50,5,0.4533650133884101,0.3040501892369007,0.9846263332325509,0.38144463373236254,,0.4208310057531341,0.49135083578374217,0.9846783831282953,0.9880046865846515
LFCC,kMeans,euclidean,50,17,0.36565742926319617,0.15549485170735913,0.9846263332325509,0.38144463373236254,,0.4659503563630572,0.3008922391626801,0.9846783831282953,0.9880046865846515
LFCC,HDBSCAN,euclidean,50,18,0.34993868290037233,0.14374715592969278,0.9846263332325509,0.38144463373236254,,0.4491948306883636,0.2866083817617231,0.9846783831282953,0.9880046865846515
LFCC,Leiden,euclidean,50,9,0.4055846136953008,0.22464540961019183,0.9846263332325509,0.5913745164871216,0.7996320301783266,0.4492203857146765,0.3696755610030452,0.9846783831282953,0.9880046865846515
Spectrogram,kMeans-preset,euclidean,50,5,0.4794461085779712,0.3507874106715519,0.944929096763417,0.23547582516276358,,0.436506104447373,0.5317560455013162,0.9360609256004686,0.9579730521382542
Spectrogram,kMeans,euclidean,50,3,0.5387433696371866,0.3811339660928809,0.944929096763417,0.23547582516276358,,0.4259786401921717,0.7327042641980758,0.9360609256004686,0.9579730521382542
Spectrogram,HDBSCAN,euclidean,50,3,0.5091214230323098,0.37251995997023585,0.944929096763417,0.23547582516276358,,0.42564556272633297,0.6333268932630278,0.9360609256004686,0.9579730521382542
Spectrogram,Leiden,euclidean,50,7,0.45619575188591677,0.30574520409711414,0.944929096763417,0.3671620190143585,0.6496378600823045,0.46648069611625825,0.44635454801297325,0.9360609256004686,0.9579730521382542
VAE,kMeans-preset,euclidean,50,5,0.4774982454564422,0.34909380653243094,0.9522669822460029,0.2656896907990075,,0.4523316971385124,0.5056301815452957,0.9611681312243703,0.9613263034563562
VAE,kMeans,euclidean,50,3,0.547079328657461,0.3954903345973073,0.9522669822460029,0.2656896907990075,,0.43397778339144,0.7399122969561959,0.9611681312243703,0.9613263034563562
VAE,HDBSCAN,euclidean,50,3,0.5497801524786037,0.4017049565506463,0.9522669822460029,0.2656896907990075,,0.4482164906137455,0.710856828840577,0.9611681312243703,0.9613263034563562
VAE,Leiden,euclidean,50,6,0.47757336460351724,0.3579539461566435,0.9522669822460029,0.5148921608924866,0.6816089849108367,0.4703218710582701,0.48505196902084896,0.9611681312243703,0.9613263034563562
PAF,kMeans-preset,euclidean,50,5,0.4870994153054535,0.4033414591499257,0.9187105531016226,0.24790493072562303,,0.46063782886321125,0.5167864917152529,0.9486514352665495,0.9446936145284124
