clip_ID,call_type,latent_representation
G06578,1,"[-0.6743676066398621, -1.1406817436218262, -1.5086841583251953, -1.0847830772399902, -1.3562370538711548, 0.16067780554294586, 0.21864047646522522, -0.11715894192457199, -0.2571009695529938, -0.5112175941467285, 0.28083592653274536, -0.09238079190254211, -0.08662506192922592, -0.032467879354953766, 0.19377397000789642, -0.3289030194282532, -0.9801927804946899, 0.6761285662651062, 0.14263953268527985, 0.17244268953800201, -0.13458287715911865, 0.1966710090637207, 1.5789536237716675, 2.05330753326416, 0.21591885387897491, 0.058103859424591064, 1.1029565334320068, -0.875839352607727, 0.46163076162338257, 0.2540590167045593, -0.37522995471954346, 0.02921798825263977, -0.15009987354278564, 0.43053120374679565, -0.05912673473358154, 1.8776503801345825, 0.652372419834137, -0.7726932764053345, -0.5812352895736694, 0.5995216369628906, -0.6130991578102112, -0.5432252883911133, -0.48325246572494507, 1.0864019393920898, -1.019744873046875, -0.6696379780769348, -1.2816582918167114, 0.6003727912902832, 0.1193716824054718, 1.1748437881469727, -0.20168264210224152, 0.0488242506980896, -0.3267928659915924, -0.12389001250267029, 0.3027222156524658, 0.5464859008789062, 0.2760588228702545, -0.07755213975906372, -0.33267155289649963, -0.675416111946106, 0.019920051097869873, 1.2632402181625366, -0.5792599320411682, -0.6486659049987793, -1.1052769422531128, -0.23372440040111542, 0.962424099445343, 0.13622352480888367, 0.8788008093833923, -0.3270490765571594, 1.1295008659362793, -0.18251073360443115, 1.8083698749542236, -0.23202425241470337, -1.1928437948226929, -0.7190864086151123, 0.14570683240890503, -0.4835582673549652, -0.6896766424179077, -1.0554101467132568, -0.9060398936271667, 0.2219020426273346, 1.067323923110962, -0.3591592311859131, 0.9295163750648499, 0.5408309698104858, -0.1361590325832367, -1.6022790670394897, -0.14155344665050507, 1.5757560729980469, -0.2467285543680191, 0.2733389437198639, -1.1888842582702637, 0.4762462377548218, 0.03606259822845459, -0.2064412236213684, -0.3321051001548767, -0.7833149433135986, -1.3954529762268066, 1.3520454168319702, -0.43322062492370605, 1.1603270769119263, 0.5321912169456482, 0.3457818627357483, -1.2703484296798706, 0.35691455006599426, -0.039943814277648926, -0.5533431768417358, 0.11755077540874481, 0.8175086379051208, -1.2006994485855103, -1.2963100671768188, -0.198993980884552, -1.333306074142456, -2.079704999923706, -1.6505752801895142, 0.25699684023857117, 0.7949732542037964, 1.646169900894165, 0.7129119038581848, -0.4120638072490692, 0.6146314144134521, 1.644595742225647, 0.5233328342437744, 0.25269991159439087, 0.6788224577903748, 1.3941707611083984, 0.06039285659790039]"
G08588,1,"[-2.666698455810547, -0.1270592212677002, -0.6470426321029663, 1.3642579317092896, -0.6449719071388245, -2.792992115020752, -0.02484259009361267, -2.334573984146118, 2.294013500213623, -0.14669224619865417, 0.08383378386497498, -1.0953035354614258, 0.585503101348877, -0.5060001611709595, -0.9819614887237549, 0.09747469425201416, -0.32471442222595215, 1.1354011297225952, 1.758905053138733, -0.2035437524318695, 0.9422887563705444, 0.052069902420043945, 1.6830291748046875, 2.189091682434082, 1.5833748579025269, 1.6900168657302856, -0.7173994779586792, -0.05737900733947754, 0.8302896022796631, 1.4796005487442017, 0.4641541838645935, 1.258927345275879, 0.28423094749450684, -1.2566334009170532, -0.66950923204422, -0.29879796504974365, -2.5862114429473877, -1.8110706806182861, -1.2759028673171997, -0.194019615650177, -0.4240087866783142, -0.6100553274154663, 1.6203727722167969, 1.152949333190918, 0.4872223138809204, -2.707871437072754, -2.417600393295288, -0.5425228476524353, -2.03821063041687, 1.1208182573318481, 0.016917884349822998, 0.6999874114990234, 0.882927417755127, 0.7851982712745667, -0.14195042848587036, -0.11875426769256592, 1.373721957206726, -1.4271724224090576, 0.4026273488998413, 0.9868733882904053, -0.9116078615188599, 1.4030890464782715, 0.22038978338241577, 1.6330770254135132, 0.786912202835083, 0.5641956329345703, -0.19882217049598694, -0.572778582572937, -1.1499115228652954, -0.8093287348747253, 1.1936471462249756, -0.0586792528629303, 1.6329489946365356, 1.1061490774154663, 0.4772340655326843, 0.13660430908203125, -1.3084253072738647, -0.059345245361328125, 1.5878586769104004, -0.8944776058197021, -0.9916399121284485, -0.3375561237335205, 0.03214845061302185, 0.32936805486679077, 1.6614190340042114, 0.027264416217803955, 0.013145074248313904, 0.7785087823867798, 0.751358151435852, 0.12366008758544922, 0.4952961206436157, -0.2503889799118042, -0.3781263828277588, -1.9466722011566162, 0.28731170296669006, 0.2341630905866623, -0.6624647974967957, -0.8119775652885437, -1.9374743700027466, -1.5996270179748535, -0.8910552263259888, 0.5398292541503906, 0.19667822122573853, 0.27285364270210266, -1.1298067569732666, 0.9094383716583252, -0.5325932502746582, -1.7978746891021729, 0.6191079616546631, -0.3902093470096588, 0.9705668687820435, 0.48260682821273804, -1.0792547464370728, 1.4182937145233154, -0.2463599443435669, -1.66129732131958, -0.9205188751220703, 0.6805034875869751, -1.234311580657959, -0.5987993478775024, 0.49608758091926575, 1.751194715499878, -2.0727176666259766, -0.6121596097946167, 0.5072984099388123, -0.6568896770477295, -1.0818191766738892, 2.905338764190674]"
G12055,4,"[-1.1166915893554688, -0.6968507170677185, -2.698779344558716, -0.8364943265914917, -0.3503854274749756, 0.7408636212348938, -0.013229221105575562, 0.5872876644134521, -0.7558012008666992, 0.9561919569969177, 0.10032545030117035, 1.4403014183044434, 0.7039278149604797, 0.6477491855621338, 0.7877935171127319, 1.8045872449874878, 0.642314612865448, 1.2248343229293823, 0.7135194540023804, 0.9952915906906128, 1.3420825004577637, 1.998042345046997, -0.882527232170105, 3.1273648738861084, -0.07426866888999939, 0.9267104864120483, 1.4565861225128174, -1.7583863735198975, -2.0467610359191895, 1.5853575468063354, 0.19172951579093933, 1.197420358657837, -0.3601791262626648, 0.6583927273750305, -1.2135363817214966, 1.465717077255249, 2.291534900665283, 0.08832502365112305, -0.29263025522232056, 0.6441646218299866, -0.9407581686973572, -0.33260536193847656, -0.9165017604827881, -0.40467333793640137, -0.6530079245567322, -1.116865873336792, -0.9052346348762512, -0.4865723252296448, -0.8573419451713562, -0.1634484827518463, -0.376190185546875, -0.14823177456855774, 0.46469515562057495, 0.8227110505104065, 0.4715886116027832, 0.6807678937911987, 1.2475817203521729, -0.9496549367904663, 0.17512857913970947, -1.2355599403381348, 0.22841228544712067, -0.15175777673721313, -0.4790199398994446, -1.873368263244629, 0.5776939988136292, 0.6017546653747559, 0.6804975271224976, 0.3746340870857239, 0.0056938230991363525, 0.9882467985153198, 0.7486444711685181, 1.4147673845291138, -0.21883314847946167, -0.2406219244003296, 0.36304759979248047, -0.012276824563741684, 1.117375373840332, -0.8723330497741699, -0.521923303604126, 0.006049513816833496, 0.5510995984077454, 0.6476569175720215, 2.6571781635284424, 0.11474530398845673, -0.46918296813964844, 0.47504153847694397, -1.6067335605621338, -0.5003509521484375, 0.7141115665435791, 0.6566640138626099, -0.9884888529777527, 1.9248175621032715, -0.4140632152557373, 1.5527206659317017, -0.38625234365463257, -0.3742113411426544, -0.2930029034614563, -0.47334325313568115, -0.5529466867446899, 0.962289035320282, -0.34500864148139954, 1.1588468551635742, 1.5710513591766357, 0.1844487488269806, 1.147377848625183, 0.7139034271240234, 0.341601699590683, -0.7933793663978577, -0.09640997648239136, -0.26798215508461, 0.7529336214065552, -0.7224754095077515, -0.2844695746898651, 0.5724495649337769, -0.7156009674072266, -1.56429123878479, 0.5035765767097473, -0.1432935893535614, -0.4182092547416687, -0.2529882788658142, 1.0555590391159058, 0.7207772135734558, 1.2402863502502441, -0.7804281711578369, 1.3691226243972778, 0.2800496816635132, 0.4443986713886261, 0.3228038549423218]"
G08645,1,"[-1.3237173557281494, 0.7337056994438171, -0.545324444770813, -0.6169576048851013, 0.4398084878921509, 0.18491771817207336, 0.1703965812921524, -0.4551519453525543, -1.2083367109298706, 1.2449451684951782, -0.8252068758010864, -1.1922476291656494, -0.7049742937088013, -0.3051212430000305, -0.662070631980896, 1.3364430665969849, -0.36425116658210754, 1.5655030012130737, -0.7080323100090027, 0.4958740174770355, -0.5526711940765381, -0.5640144348144531, 0.9236272573471069, 1.9099518060684204, -0.9261367917060852, 0.1254517287015915, 0.4959207773208618, 1.4150140285491943, 0.7799628973007202, -0.13419771194458008, -0.5673223733901978, -0.3349355459213257, -0.44552481174468994, 0.31554317474365234, -0.14673835039138794, -1.2761441469192505, 0.5267555117607117, -1.3855886459350586, -0.0011036396026611328, 0.9291495084762573, -1.4733612537384033, -1.2144269943237305, -0.5262786746025085, 1.0897778272628784, -1.8655426502227783, -0.5302128791809082, -1.116563320159912, 0.7382847666740417, 0.7547242045402527, 1.4881229400634766, 1.2267807722091675, -0.06341594457626343, -0.3094918131828308, -0.34550005197525024, 0.8198681473731995, 0.6332946419715881, 0.13091571629047394, -0.025861769914627075, -1.224088191986084, 1.0146934986114502, -0.3692621886730194, -0.6202325820922852, -1.0462722778320312, -1.3492016792297363, -0.4516531229019165, -0.035679250955581665, -1.0133384466171265, -0.3169627785682678, -0.05764612555503845, 1.44325852394104, -1.0609045028686523, -2.721912384033203, 0.44523394107818604, -0.5971192121505737, 0.44941675662994385, 1.1795730590820312, -0.09989809989929199, -0.48272043466567993, 0.20621079206466675, 1.3464601039886475, -0.18084567785263062, 0.13602328300476074, 0.6556553244590759, -1.3485114574432373, -1.2429711818695068, -0.32138165831565857, 0.8614369630813599, 0.09973697364330292, -0.7812196016311646, 1.480703353881836, 0.08410805463790894, -0.005029499530792236, -0.49550268054008484, -0.6942851543426514, -0.2566681504249573, -0.27732402086257935, -0.8907266855239868, 1.8597753047943115, -0.7124783992767334, -0.8521448373794556, 0.1036279946565628, -1.5036484003067017, 1.1471387147903442, -0.05397188663482666, -1.7172911167144775, 0.8866174221038818, 0.6575263738632202, 0.5320371985435486, -0.19177274405956268, -1.5212905406951904, 0.5255012512207031, 0.3831590414047241, 0.5936603546142578, -0.43285855650901794, 0.23312023282051086, -0.8283932209014893, 0.3441360592842102, -0.4428063631057739, -1.188858985900879, 0.9102142453193665, -0.19279751181602478, 1.3240234851837158, 1.6494523286819458, 0.4099195599555969, -0.6365538835525513, 0.4661291241645813, -0.8839300870895386, 0.46329668164253235]"
G03970,2,"[-0.4094250798225403, -0.13804751634597778, 0.6077736020088196, 1.3428552150726318, -1.6030919551849365, -0.5974841117858887, 0.20589742064476013, -0.1702287197113037, -1.6884288787841797, 0.2141331136226654, 0.977387011051178, 0.6753065586090088, 0.3837372958660126, 0.6923439502716064, 1.5258183479309082, -1.269991159439087, 1.7013853788375854, -1.281956434249878, -0.5554884076118469, 0.08544183522462845, 0.23273667693138123, 1.3395164012908936, -2.0787525177001953, -1.871669054031372, -1.7029485702514648, -0.43314582109451294, 0.8696621656417847, -0.5065188407897949, 0.021013781428337097, -2.5530688762664795, -1.9841557741165161, 0.480898916721344, -0.7389540672302246, 0.3283272087574005, 0.024207517504692078, -1.6006255149841309, 1.2136141061782837, 1.988598346710205, -0.2921922504901886, 0.9384644627571106, 1.3426363468170166, 0.5282541513442993, 0.16879156231880188, 0.9444191455841064, 0.49778449535369873, -0.17249946296215057, 1.1767317056655884, -0.5080046057701111, 0.9735527634620667, -0.6165642738342285, 0.903678834438324, -0.497514009475708, 0.018129881471395493, -0.30988025665283203, 0.4188007712364197, -0.5034836530685425, -1.6253665685653687, 0.5180706977844238, 0.012109518051147461, -1.3710672855377197, 0.4433944821357727, -1.6179665327072144, 0.9780095815658569, -0.8523828387260437, 0.9281243681907654, 0.07563185691833496, -1.4152727127075195, 0.1647440791130066, 0.15358351171016693, -1.3488013744354248, -0.6422518491744995, -0.2553175389766693, -1.0846030712127686, 0.803418755531311, -0.24248191714286804, -0.7662066221237183, -1.244659423828125, -0.2366272211074829, -0.27115654945373535, -1.050728440284729, -1.2072657346725464, 0.12244784832000732, 1.618897557258606, 0.0861881673336029, 0.026864275336265564, 0.5315130352973938, -1.3643473386764526, -0.1697368323802948, 0.6277093887329102, -0.8066946864128113, -1.001861572265625, -1.077902913093567, 0.44147196412086487, -0.2170725166797638, -1.2527098655700684, 0.16053378582000732, 1.2495414018630981, -0.28386983275413513, 1.458707571029663, 0.34264054894447327, -0.35603517293930054, 1.5017204284667969, 1.0611978769302368, -0.9861604571342468, 0.23900295794010162, 0.6617120504379272, -0.6646332740783691, 2.6250176429748535, 1.1128935813903809, 0.6138860583305359, 0.25345930457115173, 0.076791912317276, 1.4564316272735596, -0.11004942655563354, -0.8382936120033264, 0.6083554029464722, 0.4433847665786743, -0.7850780487060547, 0.4849584698677063, -0.04300093650817871, -1.3437162637710571, -0.6246583461761475, -0.13840655982494354, 0.869082510471344, 0.9491641521453857, -0.6075014472007751, -0.772540807723999, -0.08394265174865723]"
G05528,4,"[1.081855058670044, 0.16280439496040344, -1.6859827041625977, -0.2812742590904236, 0.19032877683639526, 0.8976393938064575, -0.1177295371890068, -0.13444864749908447, -0.9909199476242065, -0.586988091468811, -0.48209285736083984, -0.24710656702518463, 1.662218689918518, -0.2488812506198883, 0.012935221195220947, 0.22742092609405518, -0.4421234130859375, 0.6292917728424072, 2.536206007003784, -0.10352055728435516, -0.04070523381233215, 0.8763120770454407, -0.3998417258262634, 1.4704550504684448, -0.4954463243484497, -0.05489586293697357, 0.12965095043182373, 0.05429887771606445, -0.01074904203414917, 0.13698165118694305, -0.16989223659038544, -0.5827807188034058, 0.5843431353569031, 0.34472107887268066, 0.31888705492019653, 0.1516011357307434, 2.206022262573242, -0.7731205821037292, -0.9500348567962646, 0.7610790729522705, 0.76560378074646, 0.7523882389068604, 0.3637993037700653, -2.259115219116211, 0.13440926373004913, -1.0351086854934692, 0.37193605303764343, 1.530187726020813, 0.14710858464241028, 1.3088181018829346, -1.8886743783950806, 0.6133436560630798, 0.914521336555481, 0.7542725205421448, -0.5306679010391235, 0.12471804022789001, -0.427007794380188, -1.3691000938415527, -0.5083746910095215, 1.363370656967163, -0.1811644732952118, 1.0431276559829712, -1.0515340566635132, -1.1464760303497314, -1.089956283569336, 1.1808884143829346, 0.91657954454422, 0.12283045053482056, -1.6458089351654053, 0.9704998135566711, 1.1505136489868164, 1.38020658493042, 0.8735374808311462, 0.8633986711502075, -1.1411322355270386, -0.15205389261245728, 0.33515435457229614, 1.0724748373031616, 0.6936758756637573, 0.702530026435852, 0.43054524064064026, 1.00844407081604, 2.0761799812316895, -0.13248229026794434, 1.750213623046875, -1.7882277965545654, -1.5744829177856445, -0.7734283208847046, 0.09453697502613068, -1.1517242193222046, 0.09592431783676147, 0.9407159090042114, 1.1403309106826782, -1.1547785997390747, 1.221523642539978, -0.4349634051322937, -0.09298326075077057, -0.23650413751602173, 0.7070609331130981, 0.006243228912353516, -0.5230283737182617, 0.36169958114624023, -0.04043102264404297, -0.7979841232299805, -0.005080223083496094, 0.30999141931533813, -1.3925981521606445, -0.27894580364227295, -1.0927801132202148, 0.41462260484695435, -1.123903751373291, 1.6150249242782593, 0.9822234511375427, 0.03971630334854126, 0.7728437781333923, -1.7917373180389404, -0.05905687063932419, -0.5485672950744629, -0.9509044289588928, 1.171595573425293, 0.3730911612510681, -0.5244978070259094, 0.8632034063339233, 1.9629342555999756, -0.061463043093681335, 1.5280587673187256, 0.2726359963417053, 0.2944008708000183]"
G04175,2,"[0.1460716426372528, -0.7704557180404663, -1.2169277667999268, -0.9899808168411255, -0.08921602368354797, 0.9344687461853027, 0.9474670886993408, -0.544181227684021, -1.6950833797454834, 0.9330198764801025, 0.08094477653503418, 0.6726715564727783, 0.47526460886001587, -0.04595721513032913, 0.962863564491272, -0.2094905972480774, 1.094603180885315, -0.27645182609558105, -0.8944686055183411, 0.34078752994537354, 0.4525153338909149, -0.03902268409729004, -1.56138277053833, -1.015675663948059, -0.3044293522834778, -1.016331672668457, 0.14356869459152222, 0.34317949414253235, -1.4096053838729858, 0.7030425667762756, -0.008855186402797699, -1.2553426027297974, -1.1294902563095093, -0.44059523940086365, -2.130497694015503, 0.6006258130073547, 0.6850066781044006, 0.05739538371562958, -0.09107065200805664, 1.8177849054336548, 0.5740566253662109, 0.8897573947906494, -0.28046658635139465, -1.4734790325164795, 2.0732550621032715, 1.3615362644195557, 0.18871530890464783, -0.4241122305393219, 0.0484771691262722, -0.5177064538002014, 0.853682279586792, 1.3126142024993896, 0.9312238693237305, -0.5411686897277832, -0.9535619616508484, 0.2330312728881836, 0.6319350600242615, 1.020693302154541, 0.0293428897857666, -1.0069692134857178, 1.280255913734436, -2.4348764419555664, 0.2286289483308792, -1.4368212223052979, -1.1369333267211914, 1.4362329244613647, 1.6640841960906982, 0.020829975605010986, -0.23846790194511414, 1.319084882736206, -0.40126562118530273, 0.7691580653190613, 0.47381457686424255, -0.15048950910568237, -0.9850996732711792, 0.11325454711914062, 0.8285213708877563, -0.9298587441444397, -0.4784678816795349, -1.6013672351837158, 0.5310513377189636, -0.6271705627441406, 0.7032630443572998, 1.0342844724655151, 0.6621600985527039, -1.140552043914795, -0.6584590673446655, 0.6647928953170776, 1.6277515888214111, 1.072774887084961, -0.435777485370636, 1.3911848068237305, 0.2077985554933548, 0.26792728900909424, 0.5395268201828003, -0.15885618329048157, -0.8658283948898315, 1.556735873222351, 2.3911690711975098, 1.5591148138046265, -0.0865287184715271, 1.7867509126663208, -0.6507865190505981, -0.5416045188903809, 1.889358639717102, -0.5272587537765503, -0.34486663341522217, 0.34573766589164734, 0.6223497986793518, -0.020785778760910034, -0.03331601619720459, 1.777960181236267, -0.42133834958076477, -0.09826630353927612, -0.727988600730896, 0.36392277479171753, 0.2924844026565552, 2.0735411643981934, -0.21774965524673462, -0.13785696029663086, -0.3053812086582184, 0.43539851903915405, 1.023573875427246, 1.6510136127471924, -0.0589354932308197, -0.11149823665618896, 0.31123587489128113, -0.8904716968536377]"
G00224,3,"[1.436253547668457, 0.1851448118686676, 1.942885160446167, -0.22977866232395172, 0.43661558628082275, 1.2614858150482178, -0.965753972530365, -1.4039119482040405, -0.33006563782691956, -0.8349225521087646, -0.7296079993247986, -0.5389660596847534, 0.3022790849208832, 0.8667268753051758, -0.06338918209075928, 0.3437739908695221, 0.11496159434318542, -1.9721404314041138, 0.47252190113067627, -0.4508029818534851, 0.17884758114814758, 0.09751947224140167, -1.9412765502929688, -2.994874954223633, 0.6037234663963318, 0.4310038089752197, -0.027886077761650085, 0.17797623574733734, -0.5105692148208618, 0.7855398058891296, 0.063527911901474, -0.3379373550415039, 0.5829219222068787, 0.6628996133804321, 2.40922474861145, -0.3274564743041992, 1.499825358390808, 0.4185105562210083, 1.1331536769866943, -0.22665314376354218, -1.0874491930007935, 0.8420183062553406, -1.8704676628112793, 0.7823640704154968, 0.13483752310276031, -1.2131597995758057, 1.2691770792007446, 0.10305631160736084, 1.1370903253555298, -0.6909520030021667, -0.016712522134184837, 0.4389057755470276, -0.4000474810600281, -0.9110884070396423, -0.32490062713623047, 1.9165058135986328, 0.03123621642589569, -0.294377863407135, -0.6818555593490601, -0.5104277729988098, -0.12380726635456085, -2.3707854747772217, -0.5054374933242798, -0.06238609552383423, -0.18844003975391388, -2.0323312282562256, -0.10885033011436462, 0.506065845489502, 0.917639970779419, -1.9143749475479126, -1.211628794670105, 0.255534291267395, -1.3609650135040283, 1.5488184690475464, -1.174397587776184, -0.030274465680122375, -2.1209557056427, 0.5169556140899658, 0.44695597887039185, 0.7820703983306885, 0.5042345523834229, 0.45160189270973206, -0.9242610931396484, -1.0549652576446533, -1.0514326095581055, -0.9299319982528687, 0.41509678959846497, 1.2123568058013916, -0.3443744480609894, -1.9864298105239868, -1.1724801063537598, -1.8481802940368652, -1.7707641124725342, -0.07243411242961884, 0.4133053421974182, 0.5191624164581299, -1.1452558040618896, 0.18873053789138794, 0.9165651798248291, -0.25508713722229004, -0.8222392797470093, 0.0946648120880127, -1.3476463556289673, 0.06908388435840607, 0.06559871137142181, 0.16815529763698578, -0.4447130560874939, -1.1790001392364502, -0.20928451418876648, 0.9825647473335266, -0.639018714427948, 0.5198961496353149, 2.8411121368408203, -0.2375103235244751, 0.060011185705661774, 0.944404125213623, 0.5464358925819397, -0.5910183191299438, 2.323209762573242, -0.8422013521194458, 1.3189879655838013, 1.1803004741668701, 1.1813907623291016, -0.20530447363853455, -1.569655179977417, -0.29528963565826416, 0.5005711913108826, -0.678046464920044]"
G04910,4,"[0.7517510652542114, 0.48537445068359375, -0.6107783913612366, 0.705477237701416, -0.29173508286476135, -0.5213431119918823, -0.20259277522563934, -1.1302412748336792, 0.8244319558143616, -0.3464334309101105, -0.12448978424072266, 0.717517077922821, 1.7016236782073975, -0.4993495047092438, 0.3205292224884033, 0.14299681782722473, -0.8658327460289001, 0.30498775839805603, 0.6825103163719177, 0.6490243077278137, 0.33811163902282715, -0.1571834534406662, -0.14139296114444733, 1.2511802911758423, 1.309325933456421, 0.13499921560287476, 0.3592580258846283, -0.23115818202495575, -0.8364433646202087, 0.19001132249832153, 0.059647053480148315, 0.7629668712615967, 0.09585779905319214, -0.7636901140213013, -0.2451852262020111, 1.3542732000350952, -0.10063882172107697, -0.18815535306930542, 0.5526654124259949, -0.5617835521697998, 0.6123378872871399, -0.7089608311653137, -1.0246186256408691, -0.720262885093689, 1.4351834058761597, 1.532220482826233, -0.8371946811676025, 0.7017674446105957, 0.7684499025344849, 0.0012330412864685059, -0.10083043575286865, 0.12638795375823975, 0.13947448134422302, 2.3892369270324707, 0.8378521800041199, 1.2867765426635742, 0.05032346397638321, 1.011663556098938, 0.6771125793457031, -0.05853159725666046, -1.322714924812317, 0.7691690325737, 0.1549743413925171, 0.29631876945495605, 0.5963623523712158, 1.373697280883789, 0.44547727704048157, 0.3482750356197357, 0.28883275389671326, 1.3583470582962036, 0.27919578552246094, 0.02911105751991272, 0.973388671875, 0.07899768650531769, -1.1978257894515991, -0.14594778418540955, 0.014147058129310608, -0.3130398988723755, 1.0513908863067627, -0.13065358996391296, 0.2225407063961029, 0.05006743222475052, 0.9608017206192017, 0.17691543698310852, -0.14668801426887512, 0.7928365468978882, -1.5634410381317139, -0.15560248494148254, -0.9837329387664795, 0.21687492728233337, 1.3833314180374146, 0.4885339140892029, -0.24755841493606567, -0.12802743911743164, -0.8449013233184814, 0.32581937313079834, 1.7367932796478271, -0.02604377269744873, -0.11568716913461685, 0.5620177388191223, -0.019864320755004883, 0.05682730674743652, 0.15823256969451904, 1.5713616609573364, 1.648045301437378, -1.0028549432754517, 0.5125563144683838, -0.2935906946659088, -0.07170534133911133, -0.5901709794998169, -1.000569462776184, -0.32835084199905396, -0.7461426258087158, -0.37782031297683716, 0.364027738571167, -0.4375308156013489, -0.08948977291584015, -0.149980366230011, -1.7702093124389648, 0.4897400438785553, -0.6900662183761597, -0.4853289723396301, -0.04077136516571045, -0.07844889909029007, 1.1554884910583496, 0.02993321418762207, 0.4512435793876648, -0.6442939043045044]"
G09883,4,"[-0.10105276107788086, 1.5099893808364868, -1.12837815284729, 0.16326391696929932, -0.6428221464157104, -0.06464862823486328, 0.6202015280723572, 0.03441894054412842, -1.6330196857452393, -0.1700485646724701, 0.9240018129348755, -0.30846062302589417, 1.8118445873260498, -0.7163869142532349, -0.7583881616592407, -0.6370537877082825, -0.6181848049163818, 0.5140547752380371, 0.7217098474502563, -0.019854187965393066, 0.8631081581115723, -0.9591696262359619, -0.7833189368247986, 1.0313862562179565, -0.1945657730102539, 0.8315244913101196, 0.33293846249580383, 0.1078118085861206, -0.09304681420326233, -0.045854970812797546, 0.41811153292655945, -1.6940443515777588, 1.2865169048309326, 0.9005340933799744, -0.6844643354415894, 1.1174463033676147, 2.1418404579162598, -0.7362557649612427, -0.7377169132232666, 1.5597721338272095, -0.07523978501558304, 0.17319834232330322, -0.7078258991241455, -0.9381929636001587, -0.14513571560382843, -0.024999991059303284, 0.12725910544395447, 0.3775975704193115, 0.7604993581771851, 1.4668426513671875, 0.2534278929233551, -0.17969349026679993, 1.5748991966247559, 0.0674179196357727, 0.6510040163993835, -0.16308635473251343, 0.1612130105495453, 0.2671726942062378, -0.9414797425270081, -0.7997821569442749, -1.584275245666504, -0.40734586119651794, -0.16324278712272644, -0.4375630021095276, 1.7763779163360596, 1.2816392183303833, 0.10204589366912842, -0.5962314605712891, 0.9233402609825134, 1.1814467906951904, -1.1764293909072876, -1.4097771644592285, 0.36126571893692017, 0.5034595727920532, 1.1525026559829712, -0.5617340207099915, 1.6932035684585571, -0.07645252346992493, 0.5264354944229126, 0.2758994996547699, -0.4047686457633972, 0.901268482208252, 1.4346923828125, 0.882644534111023, -0.8439850807189941, 0.62808758020401, 0.4931182861328125, -1.0374422073364258, 0.44141852855682373, 0.6826754808425903, 0.730027973651886, -0.050443053245544434, -0.2687918543815613, -1.1028341054916382, -0.47340989112854004, 0.4350985288619995, -0.9130229949951172, 1.1299664974212646, 0.8561977744102478, -0.282023549079895, -0.6964359283447266, -0.3056950569152832, 1.3642032146453857, 0.4016979932785034, -0.08243533968925476, 0.3143434226512909, 0.21252883970737457, -0.4779590964317322, -0.3806377053260803, -0.8813307285308838, -0.07531869411468506, 0.4579804539680481, -1.137969970703125, 0.2153400182723999, -2.541597843170166, -0.322651207447052, 0.5801392793655396, 0.23854753375053406, 0.06097424030303955, 1.2515056133270264, 0.7175130844116211, 0.3399851620197296, 1.4067058563232422, 0.2603827118873596, 0.46961113810539246, 0.9791074395179749, 0.18398326635360718, 0.2587825655937195]"
